,year_id,age,waa_pg_1yr,waa_pg_2yr,waa_pg_3yr,team_gp_3yr,inn_pg_1yr,runs_bat_pg_1yr,runs_bat_pg_2yr,runs_bat_pg_3yr,runs_br_pg_1yr,runs_br_pg_3yr,runs_dp_pg_2yr,runs_defense_pg_1yr,runs_defense_pg_2yr,runs_defense_pg_3yr,runs_position_pg_1yr,runs_position_pg_3yr,opprpg_3yr,inn_per_team_gp_1yr,g_c_share_1yr,g_c_share_2yr,g_1b_share_2yr,g_1b_share_3yr,g_2b_share_2yr,g_3b_share_2yr,g_3b_share_3yr,g_ss_share_2yr,g_cf_share_1yr,g_dh_share_1yr,g_dh_share_2yr,g_dh_share_3yr,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6
1957,-0.2951033634907587,0.1704756938469135,0.27951658288725306,-0.7855992709007891,0.7763952971982034,0.2512709985080668,0.28373454033480866,-0.42331158502379046,-1.4671071387431605,0.018585044439584877,1.8084216837995621,0.6290614300375089,1.8586853919036377,1.1451560375420513,1.1786180681090341,1.1724654085320765,-0.7510038421938098,0.21497377647513802,-0.6512750514759701,0.07882080246761633,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,-0.3849858970641233,-0.41146577267147366,-0.3062567485356641,-0.047169691668856074,-0.2694882581276088,3.6364000245443284,1.98626406074485,2.4461102986550793,2.0418823790431797,2.7093220534022366,-1.1262167798399985,0.4416400742822186
796,0.09880989024747376,2.1999215360573716,0.6814456955744229,-0.639649962966719,0.7012958437415128,0.2512709985080668,0.2940733108181135,1.0490829762364964,0.20077979061703624,0.9285638971990974,1.3293927333651072,0.23245733433206825,1.2470135128454138,-1.502886729887125,-2.5064918049440563,-1.2744075503325287,0.6137903615933157,0.506883636613458,-1.371699352327976,0.8564800963012188,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,-0.3849858970641233,2.8335611355565775,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,-3.143406137882225,-1.719995784515802,-0.704036062640335,0.30821946594418137,4.086805034458593,2.7190401636043595,-0.09623431444879246
5390,-1.7394519605309444,-0.9892076445590625,-0.7928753008467375,1.650844063138878,-0.38663502382733833,0.34728724416814255,0.45153878872653336,-1.1339319650835367,0.07113336125886734,-0.38524071934924325,-1.314883678004734,0.3029743283718406,0.35907952602735166,0.39465345572083516,1.481780660732425,-0.8163384552438925,1.4509927896903851,1.473731143743464,-0.895408923219328,-0.04393741412386548,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,2.745892152870438,-0.41146577267147366,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,-3.224250205942597,-3.6879200347171395,-2.8505810286542586,0.19379722148034303,0.19515504903477807,0.5979421149634582,-2.867742331506019
1536,-0.6233644082726192,0.7503173630499015,-0.6760321591957849,-0.8668829162638894,-0.8627504764425281,-5.413687495436405,-2.069287099356609,0.027109666740011494,-0.27880492837318505,-0.28266212000396373,0.7061208518632156,-0.6225184655863762,-0.28911047058750045,-1.0736114665568868,-0.6232353068817538,-0.426019065721819,-0.6442978541684117,-0.9548561351626154,-1.3323453193714796,-1.8527199860249026,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,-0.3849858970641233,-0.41146577267147366,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,3.591984518506031,-2.759048713087177,3.0846347538513648,-0.625814870235912,-0.7445367034151595,1.6108338477371718,-0.5690632884292827
2128,0.16446209920384586,-0.4093659753560745,-0.7638565960373345,1.7311466116608207,0.8760008880986564,0.34728724416814255,-0.057806792537563066,-1.4848867543835353,-0.1544657993195942,-0.240631366952355,1.7884141798560647,2.3441445509981205,1.1330271966291283,0.3538855765569466,2.515748957075421,1.031683293265467,0.6043142248693794,0.5804773892003374,0.2159023476977383,0.6450159175983499,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,-0.3849858970641233,2.8335611355565775,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,-3.5640203602234997,-0.7058444108427311,-0.8771382443405942,-0.6491257554516304,4.53962560986877,0.4102069411227985,0.6112667711354194
3021,-0.4264077814035029,-0.1194451407545805,-0.7545736822167687,0.2087646482472213,-1.217611676067061,0.2512709985080668,-1.1598565881079927,-1.2268661960235574,0.28594843827263516,-0.9843869365042941,-0.7717990326828443,0.4612220282632159,-0.49163793553882873,0.7272422727435139,-0.40783337145309384,-0.8951711741940644,0.5162970025551771,0.4585623523197272,0.041127789236877696,-1.6679416436817254,-0.2875737211292126,-0.29067825193078245,-0.016442256974371683,-0.42844468727528173,2.1295731339134067,-0.18678635839172109,2.2362289870175416,-0.3849858970641233,-0.41146577267147366,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,1.3747970915608916,-1.3687828572572174,-1.3877579155618867,-0.4313352231409562,-1.2173120269676498,2.661506800407791,0.7203146012166285
4206,-1.1485820799235957,-1.8589701483635446,0.5516322621783449,0.2563795730663176,0.7035547956628528,0.2512709985080668,0.009130979998026947,0.22263899410998253,-0.2255331937964194,0.3158286351556069,-0.3181429835096564,-0.6760810134470865,0.6791569782890788,-0.3359440407578867,0.0894712502261244,0.22025335411538483,1.497247665588703,0.8516708916550172,-0.32307679931514577,-0.5257362553479561,3.614407610178436,3.330869802607492,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,-0.3849858970641233,-0.41146577267147366,-0.20609192208677202,0.2677567145376533,1.122129980213742,4.263448927997622,-0.24643940303966505,-1.2592227347943932,1.2613452560027028,-0.5960417268595636,0.0733697059781786,-0.05615469877725111
1337,-0.49205999035987497,-0.9892076445590625,0.7457782686769451,-0.8688587326163322,0.21336761288670755,0.2512709985080668,-0.06747203004394285,0.5567238532025005,-0.8207534061390381,-0.12925791128946332,-0.9873705190234137,0.4727532965467754,0.73771802885091,1.0607010385320925,0.2451923686472104,0.9117005599703376,-0.7151687003874744,-0.7900984493817871,0.20390023556733933,0.5334607462157148,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,-0.3849858970641233,0.18377584954787296,-0.3062567485356641,-0.036018947721041444,-0.15439201285125653,3.243738890709974,1.1219325029624714,2.9335573862531508,0.2633191605904315,0.8140682722273606,-2.0367652036025468,-0.6624509431752418
4108,-1.1485820799235957,1.0402381976513955,0.12636354627266058,-0.37000910328500647,0.9202333929613655,0.2512709985080668,-0.25947779684684436,0.35285309759378825,0.15363212784488228,1.6165096381119344,-0.7637216582554844,-0.24833011718494036,-1.7331094387978565,0.6568967347690202,0.1077849764389054,-0.26047963504253097,-1.061496982597149,-1.192951312934302,-0.6979692191237861,-0.30683554169146426,-0.2875737211292126,-0.29067825193078245,2.73863079949907,2.7946867666612367,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,-0.3849858970641233,-0.41146577267147366,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,-1.278614543965704,-1.981639747301676,0.23314016506014218,-0.4191143196975469,-2.327353022151153,0.6578114401516877,0.37478702532802677
4887,-0.8203210351417354,-1.2791284791605566,0.7056169112348109,-0.7824641455092314,-0.0978508395660545,0.2512709985080668,0.9767214939795945,-1.291081661758686,-2.2555211174038425,-0.9439473549569958,2.391446342185987,1.0849955753756282,0.7381868207176217,1.9805253050226828,1.2666989123822159,0.1554882150652657,1.667625366854712,1.5450839728318846,-1.0174882579671731,1.113148251655418,-0.2875737211292126,-0.29067825193078245,-0.4356925046985911,-0.42844468727528173,-0.3903655788379417,-0.4078643604803754,-0.40961466068564756,2.745892152870438,-0.41146577267147366,-0.3062567485356641,-0.28174830508953996,-0.2694882581276088,-2.6337012813928813,-2.6988220235945732,-2.678056276195755,1.0559303928855603,0.9941410105447507,-1.534838788181206,-2.94632460532792
