,opprpg
927,4.0619
5678,4.28947
1003,3.87468
2133,4.47535
2271,4.13399
1415,5.04133
4637,4.5235
5028,4.44684
5081,5.04133
3848,4.07185
941,5.10078
1520,4.63541
1013,4.06809
3790,4.13641
2829,4.50306
3756,4.63299
4910,4.01509
4481,4.49768
1164,4.55336
2001,4.73359
2064,4.58322
1843,4.50306
5235,3.92041
2009,4.72014
5267,5.10078
2630,4.29243
2492,4.69486
2116,4.62384
3094,4.859548705035971
192,4.21496
5685,4.07185
3269,4.06809
4165,4.06217
2686,4.10467
3252,4.79788
2175,4.904514453781513
1851,4.0619
22,4.13265
1152,4.48127
5375,4.92028
5346,5.0878023529411776
3501,4.32337
1092,4.67092
2688,4.481
641,3.67965
4901,3.4085
4847,4.481
4950,4.29243
795,4.79788
3379,5.04133
164,4.62384
1640,4.50898
2770,5.01201
4530,4.37636
1943,5.04133
4947,4.21496
3492,4.32337
2824,4.43662
5173,4.16762
2837,3.46795
4720,4.32283
5557,5.01201
3471,4.32337
4459,4.09875
5450,4.37905
418,4.63756
2706,4.63541
1233,4.02801
1627,4.32283
5548,4.01509
2323,4.00514
1625,4.21227
4764,4.07185
514,4.01644
4124,5.01201
2468,5.2498
4692,4.289470000000001
635,3.876552592592593
1058,4.73359
5229,5.01201
1320,4.13641
2310,4.32283
1863,4.37636
2957,5.01201
319,4.51678
4175,4.41052
2628,4.218406938775511
2751,5.05048
4104,4.704
5404,5.2498
2927,4.60824
4213,4.86675
2287,4.13399
3798,4.0619
591,3.87817
2782,4.97381
5226,4.96224
2623,3.89996
3995,4.22222
4895,3.89996
2699,5.2498
999,4.72014
408,4.13399
5587,4.13399
5478,3.89996
5505,4.0619
2418,4.0619
5541,4.934
650,3.82357
2918,4.73359
1273,4.15282
2745,4.49876
5151,4.50306
3842,4.70696
375,4.96224
2902,3.93924
3396,5.047802835820896
3386,3.40823
515,3.92041
2523,4.57865
3260,5.2498
2451,4.01509
3870,4.21496
1417,4.6954
4444,5.31786
1913,4.32283
3023,5.2498
2998,4.37905
4812,5.39802
740,4.481
2649,4.481
2329,4.06217
3441,4.13399
295,4.304
4970,5.237827891156463
233,5.39802
2005,4.43662
2379,4.62384
4825,4.57865
1401,3.99035
2933,4.63299
4097,4.92028
2242,4.63756
3670,4.58322
471,3.87468
1948,4.32337
182,4.43662
1936,4.3812
2607,5.29365
1686,4.10467
4088,4.16762
4477,4.704
4532,4.21227
1403,4.50306
5206,4.64186
1382,4.027983057851239
3208,4.50898
3125,4.60824
583,4.13399
4381,4.32337
2107,4.62384
5391,4.07185
2539,4.85895
5472,4.01644
600,3.750973185840708
3476,4.71718
283,3.92041
315,4.63756
5234,3.85934
5305,5.31786
5270,4.83016
1916,4.32337
3576,4.43204
4550,4.02801
3474,4.90387
132,4.50306
2087,4.67092
4117,3.87817
3633,4.54341
5169,4.15524
793,4.32337
1911,4.934
1839,4.58322
2705,4.50252
3187,4.69486
406,4.304
5129,4.43204
3082,4.85895
221,4.43204
4527,4.13641
654,3.89996
2102,4.32337
3655,4.10117
3611,4.13265
4798,4.28517
2043,4.95606
2374,4.72014
4181,4.57865
1110,3.67965
3333,4.95606
2501,4.85895
1941,4.22222
1349,4.47535
598,4.01644
4965,4.47535
4526,4.13399
4257,4.37636
4114,4.22707
1244,4.83016
3459,4.32337
4919,5.39802
4662,4.32283
3283,4.09875
4170,4.77852
3697,4.09875
5413,5.249799999999999
5449,4.934
632,4.32902
1494,5.31786
4802,4.37636
4512,4.57865
2040,4.58322
1309,4.6954
2234,3.4085
92,4.60824
1692,4.212269999999999
491,4.62384
1191,4.01509
1820,4.904703265306122
2252,4.789881621621621
4710,5.10078
366,4.32337
2996,4.63756
