,year_id,age,inn_pg_1yr,runs_bat_pg_1yr,runs_bat_pg_2yr,runs_bat_pg_3yr,runs_br_pg_1yr,runs_br_pg_2yr,runs_dp_pg_2yr,runs_defense_pg_1yr,runs_defense_pg_2yr,runs_defense_pg_3yr,runs_position_pg_1yr,runs_position_pg_3yr,percent_team_gp_1yr,inn_per_team_gp_1yr,g_3b_share_2yr,g_3b_share_3yr,g_cof_share_2yr,g_cof_share_3yr,pc_0,pc_1,pc_2,pc_3,pc_4
4813,0.23577915350305415,-0.40525282131512874,0.5551948068583891,-1.3932150041134967,-0.02280435207696299,-2.345835245117099,-1.1423622709149595,0.347348321621582,-0.34424942301405076,-0.299849607521437,-1.587485514594479,-0.7727083626186583,-1.2014498597186933,-1.3224580851420544,0.8426637774341592,0.8835083013664594,-0.4026939464692888,-0.40643909864810596,-0.6297135792156676,-0.6336012533620292,1.1370195622221608,4.554872946876108,-1.4495523140824018,0.1265247343618447,-2.599205176955214
5242,0.7590308193770785,0.8162039866851426,-1.0357109008445822,0.2788929499268703,-0.004556455977964405,-1.043781214892919,-0.3002655170038807,-0.8223870386150198,0.17567205011160023,-0.09769298777942789,-0.5745470077583489,0.297655610838155,1.4177022320078057,1.3725235107271243,-0.24387030765018092,-0.6049297855200654,-0.4026939464692888,-0.40643909864810596,-0.6297135792156676,-0.6336012533620292,3.890688927560397,-0.7196091655447501,-2.0541752654141723,-1.0208998882245874,4.266459054777265
3270,-1.5301952188217782,0.2054755826850069,-0.3694569685496689,-2.03342973813613,-0.7632902595392896,-1.5941831547922511,-0.03176241219717172,0.35183278813843666,0.00012931490079197067,0.9586519248497456,-0.2517619157823315,0.752026885571729,1.3590097066150677,1.4218879991348832,-0.5303622626101856,-0.5725274447071986,-0.4026939464692888,-0.40643909864810596,-0.6297135792156676,-0.6336012533620292,1.2990288485110981,-2.9058971297803677,-2.425672247827207,-3.056750620932325,-2.2832127233139334
147,1.4785018599538622,-1.6267096293154,0.6262511645674681,0.34245156729474224,0.05670556739581828,-1.2017994639578202,-0.49285595262968723,-0.3795411738144322,-1.5054797408267857,2.097702150183157,1.5317403674018397,1.9118751091691675,0.5514234788665193,0.4682611119558904,0.9020975121898366,0.9628034708091255,2.830391719297896,2.834918289947093,-0.6297135792156676,-0.6336012533620292,1.4641684031392024,-0.05675244739252498,-0.3717078233692255,0.22304105648945796,-0.12034307141109982
3813,-0.15665959590246417,-0.40525282131512874,-1.8375899873940247,-0.37635502919160985,0.19163818543843622,-0.2534407258291066,-1.079020073649683,0.41231110568447954,-0.05929070967915302,1.2542294067452586,-0.6669320610440916,-0.5860710884338186,-0.8127712641253387,-0.8324598292200589,-0.944618952763533,-1.398743529800661,-0.4026939464692888,-0.40643909864810596,1.8128996031783942,1.6636166901280218,5.1751883307052085,0.8861575864250094,1.6847305526586822,0.10449892287232733,-1.875664807090123
2766,1.347688943485356,-0.09988861931506092,0.9766807994609188,0.42410969238925955,-0.22631458565361412,0.43254247435951987,-0.6305019358554702,-0.1461282825352977,-2.5658005520232545,-0.22611215195980255,0.07111536323857472,0.4905916072764163,0.6092039065679499,0.1725083650887547,-1.1033461725301938,-0.5584864303549563,-0.4026939464692888,-0.40643909864810596,-0.5952184332261727,-0.232371068422156,-0.5368608330317014,-1.4921146888943535,-0.9203805457450113,4.006742684265672,0.037322770416918144
4616,1.5439083181881152,0.2054755826850069,0.7992931641688927,0.47516104480948906,-0.4809459698517783,0.3728893969750971,-0.14941319378440196,0.08616017891832699,-0.5188941171320376,0.29894341804350133,-1.243162972219614,-0.774697363920788,-1.7216732431610966,-0.9357083567186834,1.0156266222919996,1.131839036329168,-0.4026939464692888,0.1443798039889866,-0.6297135792156676,-0.6336012533620292,-3.176961658234715,3.8869187056016834,-1.464400116623129,-0.15628722758879093,0.078117011392855
5138,-1.8572275099930435,-1.3213454273153322,0.12934228646899396,-0.3176307011873726,0.9291811042701482,0.4172941862908392,0.9906827719823648,0.2413140467899216,0.9746325866173772,-0.0874530282826926,-0.5975169419343884,-0.17784072477215396,-0.9001000239934581,0.7154478086760815,0.5659935357611502,0.47994932012275743,-0.4026939464692888,-0.40643909864810596,0.18643688167864023,0.08729905633795754,-2.473938516974138,-0.9049595171531729,1.1840063661420028,-1.2005596672878662,0.5064884454152675
1143,0.6282179029085725,2.0376607946854137,1.002385023175127,-0.5781275324876011,0.6076891220053914,-0.46164820077288415,0.49638046017327714,-1.4590207710496748,-0.9177460705851272,-0.6379391267451416,-0.3170789629525849,-1.0333288189519647,-1.2897039630939942,-0.811881705702154,-1.4471365184821996,-0.8371465613456086,-0.028799685802335672,0.7625750415009823,0.030152750869092134,-0.2315131278984071,1.025949863191892,2.995563419207229,-0.5968575386423635,0.1854226139722656,-1.253810832621177
2695,-0.22206605413671723,-0.7106170233151966,0.548392122793044,-0.19966530138854963,0.04791553117707186,0.8453653881698069,-0.08033804272052257,0.7658442043789382,-0.39318105996302605,0.5132268599314871,0.22277310128967434,-0.21962361127183375,-1.159507051985017,-1.2553393860862734,1.01669429417384,1.0222077622993815,-0.4026939464692888,-0.40643909864810596,-0.6297135792156676,-0.6336012533620292,-2.868781899091391,3.5067315893315962,-1.0690762316424731,-0.3110848931534436,-0.6049393635133722
