,g_of,runs_bat_pg_1yr,runs_bat_pg_2yr,runs_bat_pg_3yr,runs_br_pg_1yr,runs_dp_pg_2yr,runs_dp_pg_3yr,runs_defense_pg_1yr,runs_defense_pg_2yr,runs_defense_pg_3yr,runs_position_pg_1yr,runs_position_pg_2yr,g_c_share_1yr,g_c_share_2yr,g_c_share_3yr,g_1b_share_2yr,g_cf_share_1yr,g_of_3yr,g_dh_share_1yr,g_cof_share_1yr,pc_0,pc_1,pc_2,pc_3,pc_4,runs_total_pg,is_train,opprpg_1yr,opprpg_2yr,opprpg_3yr,opprpg,waa_pg_1yr,waa_pg_2yr,waa_pg_3yr,year_id,age,waa_pg
1875,0.9820467882666705,1.6206388977750077,0.9450832778169803,2.309180345048717,1.3632539849237495,-1.2177982858873675,-0.9717997533503941,0.6117643845785722,-0.8425150718755855,-1.3318409046445139,-1.0675147518361896,-1.1441324967696516,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4023665989203525,-0.41609778842444917,1.019086934922599,-0.2895612312681439,1.5893423002620264,4.810593105412368,2.18879607405211,0.10595512030127224,0.11129241014424932,1.1535376362189067,0.2056818181818182,1.0,-1.0209521597053774,-2.511507878375387,-1.820554264746316,4.16762,1.7180910315857594,0.21616769567919839,1.1378753545420288,-1.5904144590741325,1.131893769346649,0.0212121212121212
2014,1.2938136162611382,1.8688818294939615,0.370905337809907,1.351193697184832,-0.8100628022618026,-0.5238735468645483,0.20338096243647638,-1.280667234464209,-0.745695907605661,-1.10289802887589,-0.7333201007993021,-1.1616249885939303,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,-0.41609778842444917,1.427388151580397,-0.24165243811727613,1.8984652168851115,-0.9494089680984376,2.9054875220468044,-0.5954283567371135,-0.6125382533630893,-0.7513304122805814,0.1575838926174498,1.0,0.20523668795797295,-1.1339698914301912,-0.3361299392693526,4.22707,0.8129504437663213,-0.29373445713508806,0.44559773699190364,-1.0459261575995968,0.21156892884984108,0.0170469798657718
1505,-0.6213254699905922,0.5121499486626289,-0.6672875328457817,0.7131931161822179,0.4904876742213614,0.11810842659561678,0.7329013846008235,0.6274888568670283,-0.5771365365983178,0.7237342908499095,1.0896446686798917,1.5227492949179802,4.331767315604621,5.071668012683597,5.028507179667377,-0.4664114082812038,-0.41609778842444917,-0.818268540037492,0.724152213618385,-0.5779543041879944,0.9025188443387437,-1.3713040038365085,-0.5769472154443271,0.13550928788939146,1.1164720345009986,0.1746052631578946,1.0,-0.4393788262150187,-0.846677419915928,-0.3683859568108567,3.97959,1.1273100118604997,-0.3155943337704014,1.7032472450524734,-1.1820482329682307,-0.4019809648146976,0.0199342105263157
1583,0.8335863939835907,0.11639925372929921,-0.4261035833377148,-0.6764937893891333,0.5595234643615953,0.29829190368198105,0.12149607080648923,-0.9987959699567224,0.05234697051346924,0.3300758216067079,-0.06414341182086472,-0.28532761810714835,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,0.04836956530483618,2.65454737439205,0.3483063646990737,-0.2895612312681439,-0.6101238970718588,1.8889551596233856,1.8752632240361293,-0.22327207845658992,-0.08499040934715946,0.42478444587860037,-0.0387974683544301,1.0,-1.5486736721865555,-1.3259562921240524,0.18706506347077176,4.13399,-0.10788638327580431,-0.37609027143557594,-0.8701776578940261,-1.3862313460211815,-1.3223058053115055,-0.0053164556962025
923,1.5461962865423742,0.8249299655645824,-0.5071663018398213,-0.8836666158706523,0.727147794998586,1.7805966726827012,2.3745035267800576,-0.32403659252320977,1.1714670332254828,0.837130026186424,0.6424806215902636,0.5851694956784167,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,2.7011890024225678,1.5148812694356395,-0.24318797635929054,-0.6101238970718588,0.5765219300023031,2.079514331929533,1.53129366141628,-0.6996009951179972,-1.185783361223661,0.05175,1.0,-0.07597778468606425,-0.007439115036774217,0.8612038390036332,4.41052,0.8952686282037271,0.46556731115002475,0.0020067822751993615,1.2681491236671791,0.21156892884984108,0.0051249999999999
1115,-0.7846319037019801,-0.27327466389091715,-1.6422777359428402,0.9663321095435261,-1.0355979766094574,0.11949860368284804,-1.977889718664335,0.25432858813408554,0.07952956308495597,-0.9570769411167419,0.41353282507259864,0.41807606611097115,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,-0.41609778842444917,-0.818268540037492,-0.14192392992567185,-0.6101238970718588,0.4788396387525894,-2.861457830070816,-3.062261099304894,-1.568856671306125,-2.689738123262177,0.0848387096774194,1.0,-0.3756256434946128,-0.1708795031196191,1.1876491258251665,4.32902,-0.11459032455401552,-1.478080900653687,0.15628660807739142,-0.22919370538779357,-0.09520601798242825,0.0090322580645161
2089,1.4125819316876023,-0.77155081418942,-0.5800003641431702,-0.5612488501939278,-0.551580761143002,0.5625537155767248,1.7836324747661467,-0.3637951416985839,1.205242876827713,0.19106867714163703,-0.7390665930510721,-0.9496371989800219,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4075594213009621,-0.41609778842444917,-0.42454950968890115,-0.2895612312681439,1.8992061503786846,1.773458944454736,1.2891471609563954,-1.0391128880361602,-0.6989073042822628,-0.10657398964295638,0.1720987654320986,1.0,1.5164297792485335,1.2351803866286464,2.30046973992249,5.29365,-1.0739474385050718,-0.16301094237241118,-0.30848424790381723,0.3833556337710589,1.131893769346649,0.0164197530864197
2375,-0.027483892858272675,-0.4880445451816354,0.5944459193992857,0.7468231521187244,-0.11341093132441905,0.5011022141287661,-0.7979670747683008,0.5659242059676376,-0.6778459846814323,0.46538218732675646,-1.15181206548515,-1.1400048008883568,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,1.1487053734811956,-0.41609778842444917,-0.599535745399386,-0.19310486105772898,-0.47544053486474686,-0.2765481661817318,0.16153146422614803,-2.0759911090170253,0.4955576590259877,1.038225309744041,0.0374193548387097,1.0,-0.4393788262150187,-0.846677419915928,-0.3683859568108567,3.97959,-0.44676200418031903,-0.1627194642651755,0.6953066421903981,-1.1820482329682307,1.7454436630111876,0.004774193548387
805,1.1750453008346744,-1.133250847399608,-1.9585043373165245,-0.7697936211844612,-0.9393243631010079,-0.04795495313787668,0.04089762830536768,0.9377851100259051,-0.547423781708991,1.6614617360265163,-0.7928035119253116,-0.8281175118243084,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,-0.41609778842444917,1.5440456420540536,-0.2895612312681439,1.915189144311491,-1.3019388004651113,3.0430571587784097,-0.8222411657383457,-0.8492966641843952,-0.7546148461238521,-0.0097841726618702,1.0,0.11457076143738067,0.4627503595747714,0.8147743594792075,4.38828345323741,-0.9981912823961262,-2.483690680415736,-0.33920622740522693,1.1320270482985453,-1.3223058053115055,-0.0016546762589928
2210,-0.7846319037019801,0.8757407676953762,0.6821047365230636,1.5379205238726337,2.857878649675126,1.4908558407271102,0.7044159414074106,1.0422117336851422,2.780200904798698,1.8559444063824306,0.7259060287853853,0.6971514081253721,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.43034476615666634,-0.41609778842444917,-0.818268540037492,-0.2895612312681439,-0.6101238970718588,-1.747996894208872,-1.2959815658724434,2.6750570168998187,5.181697977871902,-0.3294718735958256,0.3658260869565214,1.0,0.11457076143738067,0.4627503595747714,0.8147743594792075,4.3812,1.9582967704093686,2.259813747276194,2.483890794431034,1.1320270482985453,0.21156892884984108,0.0376521739130434
1605,-0.7846319037019801,-0.2762223817179336,-0.42899244953918986,-1.2261628531512005,-0.6269920284175853,-1.1254049779357758,0.8804112530012927,-1.620801432427251,-1.2888920741744865,0.12784554818312582,0.3504006868722232,0.10018197351561607,-0.20431818461548928,-0.2100245627259942,-0.21577682387981256,-0.4664114082812038,-0.41609778842444917,-0.818268540037492,0.1444924346787245,-0.6101238970718588,0.3146584102676497,-2.4792029965493394,-2.786510636823284,-0.8465170580923839,-1.8638514139037814,-0.0631724137931035,1.0,2.180874350252779,1.425864857693291,1.255374771577739,5.31786,-0.9516120686971375,-1.102603405191608,-1.1076303732271162,0.45141667145537584,0.21156892884984108,-0.0052413793103448
