,runs_total_pg
2701,0.1282644628099175
1047,0.146875
5522,-0.0819491525423728
109,-0.0491729323308273
2188,-0.157017543859649
224,-0.0128030303030303
5490,0.0157352941176472
4478,-0.107190082644628
5686,0.0159541984732823
4326,-0.1860194174757281
5210,0.2307228915662648
1356,-0.0532061068702289
2937,0.0222666666666666
605,-0.075042735042735
1269,0.1057042253521128
4576,-0.1311464968152866
4932,0.0990967741935483
2729,-0.1507894736842104
1906,0.0493793103448275
750,0.0408280254777072
4930,-0.1538815789473682
802,0.0078145695364237
2265,-0.0971153846153843
2903,0.1101550387596896
5591,0.2253383458646619
2967,0.0475776397515528
3372,0.2101282051282051
5317,0.181159420289855
507,0.0579354838709678
1471,-0.0213013698630136
2764,0.0499999999999998
5618,-0.0238571428571428
3404,-0.0093630573248405
2365,-0.1345890410958903
2402,-0.1015646258503399
3414,0.0256716417910445
1324,0.5048543689320385
5217,-0.1038461538461536
4966,-0.0010071942446044
4898,0.2357142857142859
4597,0.3733834586466166
1395,0.1638666666666665
70,0.2211688311688309
5188,-0.2084920634920634
3324,0.135944055944056
2621,-0.0977536231884056
2588,-0.0172916666666665
95,0.1602439024390245
938,0.0029113924050632
1982,0.2068589743589743
497,-0.0568686868686868
1123,0.141642857142857
4771,0.1602112676056336
2339,0.1240624999999999
324,-0.0805825242718447
432,-0.1198571428571429
4712,0.11125786163522
258,-0.0003311258278145
1460,0.0586874999999999
276,-0.1006976744186045
2034,0.3110666666666665
2970,-0.0696460176991148
325,-0.0688976377952756
4928,-0.1639166666666666
2828,0.134090909090909
4166,-0.0666442953020133
5661,0.0208661417322834
13,0.1201923076923076
11,0.2935849056603772
5533,-0.017074829931973
3220,0.1684810126582278
5060,-0.008878504672897
3718,-0.0288235294117646
4469,0.4086813186813187
4449,0.4380864197530862
4838,0.0316438356164384
2240,-0.0075
5677,0.0539603960396039
5315,0.0010666666666667
886,0.1290654205607476
3328,0.002857142857143
5589,0.2154615384615384
4842,0.0396296296296296
3953,0.1878571428571429
4778,-0.0911818181818181
1065,-0.1112837837837838
2608,0.2867187500000001
3871,0.0998347107438016
4830,0.0661467889908258
1177,-0.0053642384105958
3811,-0.2803260869565215
420,0.2237908496732026
2682,-0.0745185185185183
3706,0.0542635658914727
3751,0.0327906976744185
3073,0.1095604395604394
5458,0.0050675675675677
2408,0.0552755905511811
4524,0.1446875
926,0.1995
253,0.0730188679245281
3803,-0.2217647058823526
4861,-0.0575
4475,0.075735294117647
4857,0.0780666666666669
745,-0.0700684931506848
3308,-0.0698275862068965
2638,0.2424626865671642
4669,0.0321538461538463
4735,-0.256392405063291
2263,0.1029078014184396
3834,0.1512408759124089
1862,0.1452469135802468
1035,0.0324683544303797
5290,-0.184047619047619
2555,0.2554140127388533
5436,0.0986013986013985
1017,0.2594482758620688
2160,0.0238655462184873
556,0.0051408450704224
1883,0.2417088607594936
481,0.0678767123287671
3022,-0.185514705882353
2312,0.1860447761194029
2138,-0.0686013986013986
4652,0.2905960264900663
126,-0.0784105960264899
3951,0.112148148148148
66,-0.0382781456953644
5256,0.1635000000000001
2907,-0.019867549668874
3647,0.2819753086419752
2848,0.0146715328467153
1394,-0.1952597402597404
3160,-0.1079245283018867
5002,-0.0304545454545452
