,player_id,year_id,name_common,opprpg,opprpg_1yr,opprpg_2yr,opprpg_3yr
127,andremi01,1971,Mike Andrews,3.87468,4.16762,4.07777,3.40823
128,andremi01,1972,Mike Andrews,3.4679500000000005,3.87468,4.16762,4.07777
129,andruel01,2013,Elvis Andrus,4.29243,4.41052,4.43662,4.44684
130,andruel01,2014,Elvis Andrus,4.13265,4.29243,4.41052,4.43662
131,andruel01,2015,Elvis Andrus,4.304,4.13265,4.29243,4.41052
132,andruel01,2016,Elvis Andrus,4.50306,4.304,4.13265,4.29243
133,andruel01,2017,Elvis Andrus,4.6954,4.50306,4.304,4.13265
134,andruel01,2018,Elvis Andrus,4.57865,4.6954,4.50306,4.304
135,andruel01,2019,Elvis Andrus,4.95606,4.57865,4.6954,4.50306
136,aokino01,2015,Nori Aoki,4.22222,4.13265,4.02801,4.28947
137,aokino01,2016,Nori Aoki,4.503059999999999,4.22222,4.13265,4.02801
138,aokino01,2017,Nori Aoki,4.686935871559633,4.503059999999999,4.22222,4.13265
139,aparilu01,1965,Luis Aparicio,3.93924,4.05437,4.0662,4.43742
140,aparilu01,1966,Luis Aparicio,3.8830200000000006,3.93924,4.05437,4.0662
141,aparilu01,1967,Luis Aparicio,3.67965,3.8830200000000006,3.93924,4.05437
142,aparilu01,1968,Luis Aparicio,3.40823,3.67965,3.8830200000000006,3.93924
143,aparilu01,1969,Luis Aparicio,4.07777,3.40823,3.67965,3.8830200000000006
144,aparilu01,1970,Luis Aparicio,4.16762,4.07777,3.40823,3.67965
145,aparilu01,1971,Luis Aparicio,3.87468,4.16762,4.07777,3.40823
146,aparilu01,1972,Luis Aparicio,3.4679500000000005,3.87468,4.16762,4.07777
147,arenano01,2016,Nolan Arenado,4.5001,4.22222,3.99035,4.02801
148,arenano01,2017,Nolan Arenado,4.66123,4.5001,4.22222,3.99035
149,arenano01,2018,Nolan Arenado,4.32337,4.66123,4.5001,4.22222
150,arenano01,2019,Nolan Arenado,4.72014,4.32337,4.66123,4.5001
151,armasto01,1983,Tony Armas,4.49768,4.48127,4.07185,4.49876
152,armasto01,1984,Tony Armas,4.43204,4.49768,4.48127,4.07185
153,armasto01,1985,Tony Armas,4.58322,4.43204,4.49768,4.48127
154,armasto01,1986,Tony Armas,4.637559999999999,4.58322,4.43204,4.49768
155,ashbyal01,1982,Alan Ashby,4.0619,3.87817,4.01509,4.21227
156,asprobo01,1965,Bob Aspromonte,4.01644,4.0237,3.80823,4.50387
157,asprobo01,1966,Bob Aspromonte,4.08073,4.01644,4.0237,3.80823
158,asprobo01,1967,Bob Aspromonte,3.8235700000000006,4.08073,4.01644,4.0237
159,asprobo01,1968,Bob Aspromonte,3.4085,3.8235700000000006,4.08073,4.01644
160,atkinga01,2008,Garrett Atkins,4.64186,4.77852,4.86675,4.55336
161,atkinga01,2009,Garrett Atkins,4.50898,4.64186,4.77852,4.86675
162,aurilri01,2001,Rich Aurilia,4.73359,5.05048,4.97381,4.60824
163,aurilri01,2002,Rich Aurilia,4.481,4.73359,5.05048,4.97381
164,aurilri01,2003,Rich Aurilia,4.62384,4.481,4.73359,5.05048
165,aurilri01,2004,Rich Aurilia,4.871722983870968,4.62384,4.481,4.73359
166,aurilri01,2005,Rich Aurilia,4.55336,4.871722983870968,4.62384,4.481
167,aurilri01,2006,Rich Aurilia,4.86675,4.55336,4.871722983870968,4.62384
