waa_pg,player_id,year_id,name_common,age,g,team_gp,pa_pg,inn_pg,runs_bat_pg,runs_br_pg,runs_dp_pg,runs_defense_pg,runs_position_pg,opprpg,percent_team_gp,pa_per_team_gp,inn_per_team_gp,g_c_share,g_1b_share,g_2b_share,g_3b_share,g_ss_share,g_cf_share,g_dh_share,g_cof_share
-0.0036448598130841125,johnscl01,1986,Cliff Johnson,38.0,107,163.0,3.682242990654206,8.074766355140186,0.06579439252336448,-0.018691588785046728,-0.006168224299065421,-0.0009345794392523365,-0.0808411214953271,4.63756,0.656441717791411,2.4171779141104293,5.300613496932515,0.0,0.010416666666666666,0.0,0.0,0.0,0.0,0.9895833333333334,0.0
-0.006412213740458015,johnsda02,1966,Davey Johnson,23.0,131,160.0,4.129770992366412,9.038167938931299,-0.06511450381679389,-0.009389312977099237,0.001450381679389313,0.007633587786259542,0.029236641221374045,3.88302,0.81875,3.38125,7.4,0.0,0.0,0.9689922480620154,0.0,0.031007751937984492,0.0,0.0,0.0
0.002027027027027027,johnsda02,1967,Davey Johnson,24.0,148,161.0,3.9594594594594597,8.60135135135135,0.04081081081081081,-0.011418918918918919,-0.000472972972972973,-0.02364864864864865,0.027500000000000004,3.67965,0.9192546583850931,3.639751552795031,7.906832298136646,0.0,0.0,0.9795918367346939,0.02040816326530612,0.0,0.0,0.0,0.0
0.003724137931034483,johnsda02,1968,Davey Johnson,25.0,145,162.0,3.8551724137931034,8.551724137931034,-0.009793103448275862,0.015655172413793102,-0.011172413793103448,0.010344827586206896,0.03917241379310345,3.40823,0.8950617283950617,3.450617283950617,7.654320987654321,0.0,0.0,0.7901234567901234,0.0,0.20987654320987653,0.0,0.0,0.0
0.009014084507042254,johnsda02,1969,Davey Johnson,26.0,142,162.0,4.084507042253521,8.908450704225352,0.03647887323943662,-0.020492957746478874,-0.008309859154929577,0.05352112676056338,0.028661971830985917,4.07777,0.8765432098765432,3.580246913580247,7.808641975308642,0.0,0.0,0.9861111111111112,0.0,0.01388888888888889,0.0,0.0,0.0
0.010872483221476511,johnsda02,1970,Davey Johnson,27.0,149,162.0,4.026845637583893,8.662416107382551,0.04563758389261745,-0.006308724832214765,0.0,0.040268456375838924,0.028187919463087248,4.16762,0.9197530864197531,3.7037037037037037,7.967283950617285,0.0,0.0,0.9802631578947367,0.0,0.019736842105263153,0.0,0.0,0.0
0.016690140845070423,johnsda02,1971,Davey Johnson,28.0,142,158.0,4.042253521126761,8.540140845070423,0.11802816901408451,-7.042253521126761e-05,-0.0048591549295774646,0.01267605633802817,0.02676056338028169,3.87468,0.8987341772151899,3.632911392405063,7.675316455696203,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.008559322033898305,johnsda02,1972,Davey Johnson,29.0,118,154.0,3.694915254237288,8.43813559322034,-0.033983050847457626,-0.002711864406779661,-0.008813559322033898,0.09322033898305085,0.02593220338983051,3.46795,0.7662337662337663,2.831168831168831,6.4655844155844155,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.014840764331210192,johnsda02,1973,Davey Johnson,30.0,157,162.0,4.146496815286624,8.736942675159236,0.20643312101910827,-0.02949044585987261,-0.0007006369426751592,-0.0624203821656051,0.03331210191082803,4.13399,0.9691358024691358,4.018518518518518,8.467283950617285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
-0.0016911764705882354,johnsda02,1974,Davey Johnson,31.0,136,163.0,3.9705882352941178,8.404411764705882,0.036176470588235296,-0.015294117647058824,-0.016911764705882352,-0.003676470588235294,-0.011029411764705883,4.13641,0.8343558282208589,3.312883435582822,7.012269938650307,0.0,0.5069444444444444,0.4930555555555556,0.0,0.0,0.0,0.0,0.0
